state,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
California,,Bachelor,4715.3213,0.0,65.0,0,Personal Auto,Four-Door Car,308.15089
Washington,Female,College,4737.8717,0.0,130.0,0,Personal Auto,SUV,23.820158
Oregon,,Bachelor,4932.9163,37260.0,62.0,0,Corporate Auto,Four-Door Car,15.437681
Arizona,,High School or Below,5744.2297,68987.0,71.0,0,Personal Auto,Four-Door Car,204.475147
California,,Bachelor,13891.735700000001,42305.0,117.0,0,Personal Auto,Four-Door Car,561.6
Oregon,,Master,7380.9767,65706.0,91.0,0,Personal Auto,Four-Door Car,436.8
Oregon,,Bachelor,3090.0341,0.0,90.0,0,Personal Auto,Two-Door Car,648.0
Arizona,,High School or Below,2521.6331,53243.0,66.0,2,Personal Auto,Four-Door Car,157.397849
Nevada,,High School or Below,2652.0618,0.0,70.0,1,Corporate Auto,Two-Door Car,484.318536
Oregon,,College,2771.045,50071.0,71.0,0,Corporate Auto,Two-Door Car,18.918935
California,,Bachelor,3939.0064,60021.0,99.0,0,Personal Auto,Four-Door Car,882.871945
Arizona,,High School or Below,12231.8797,43244.0,103.0,0,Personal Auto,Sports Car,494.4
Washington,Male,Doctor,4951.6561,46896.0,35354.0,1,Personal Auto,Four-Door Car,31.707317
Oregon,,Doctor,12819.1029,10105.0,172.0,3,Personal Auto,SUV,0.517753
Arizona,,Bachelor,4468.5105,0.0,73.0,3,Personal Auto,Four-Door Car,579.165954
Oregon,,High School or Below,5514.344,23218.0,71.0,0,Personal Auto,Two-Door Car,447.79344
California,,Bachelor,3343.8753,0.0,92.0,0,Corporate Auto,Four-Door Car,529.624084
Arizona,,High School or Below,2294.4789,0.0,62.0,0,Personal Auto,Four-Door Car,313.023175
Oregon,,College,36707.426400000004,24804.0,104.0,0,Personal Auto,SUV,593.830288
California,,Bachelor,33473.349500000004,33190.0,106.0,0,Corporate Auto,SUV,508.8
Nevada,,High School or Below,7983.4317,36014.0,69.0,3,Special Auto,Four-Door Car,173.956072
Washington,Female,Master,4879.3848,67163.0,61.0,2,Personal Auto,Two-Door Car,33.192803
California,,Bachelor,4293.9973,16701.0,113.0,0,Personal Auto,Four-Door Car,831.625979
Arizona,,College,7164.3955000000005,46623.0,91.0,0,Corporate Auto,Four-Door Car,436.8
California,,College,7619.515799999999,64749.0,64.0,0,Special Auto,Four-Door Car,302.56519
Arizona,,High School or Below,3958.0028,0.0,101.0,0,Personal Auto,SUV,484.8
Oregon,,High School or Below,4499.4933,16969.0,124.0,2,Personal Auto,SUV,704.768111
Oregon,,Master,4059.5674,11621.0,108.0,0,Personal Auto,Four-Door Car,518.4
Arizona,,Bachelor,4458.1134,17622.0,65.0,1,Personal Auto,Four-Door Car,312.0
California,,Bachelor,8110.333100000001,11489.0,105.0,0,Personal Auto,Two-Door Car,504.0
Oregon,,Bachelor,3339.7649,0.0,94.0,0,Personal Auto,Two-Door Car,863.327324
California,,High School or Below,24261.017799999998,66525.0,100.0,0,Personal Auto,SUV,104.331355
Arizona,,Bachelor,6613.9737,0.0,63.0,0,Personal Auto,Four-Door Car,676.391482
Washington,,College,2930.6935,33663.0,73.0,0,Personal Auto,Four-Door Car,350.4
Oregon,,College,8672.194300000001,22547.0,112.0,0,Corporate Auto,SUV,537.6
Arizona,,High School or Below,11638.6693,61486.0,97.0,0,Personal Auto,Two-Door Car,465.258644
Oregon,,Bachelor,6846.1503,0.0,95.0,0,Personal Auto,Two-Door Car,456.0
California,,College,11727.7765,29879.0,102.0,0,Personal Auto,Four-Door Car,500.254235
Oregon,,High School or Below,22643.8348,93011.0,113.0,0,Personal Auto,SUV,281.451042
Oregon,,Master,2614.4743,65186.0,65.0,0,Personal Auto,Two-Door Car,5.434505
Oregon,,Master,2451.7527,26840.0,64.0,2,Personal Auto,Four-Door Car,307.2
Oregon,,Bachelor,6781.2702,0.0,104.0,1,Personal Auto,Sports Car,982.399613
Oregon,,Bachelor,4974.8015000000005,75644.0,65.0,3,Personal Auto,Two-Door Car,467.803638
Oregon,,Bachelor,8591.6049,38984.0,73.0,0,Personal Auto,Four-Door Car,350.4
Oregon,,High School or Below,5592.1614,71811.0,71.0,0,Personal Auto,Four-Door Car,29.03416
Nevada,,College,8009.4728000000005,20961.0,67.0,0,Personal Auto,Four-Door Car,321.6
Washington,Female,Master,,41275.0,96.0,0,Personal Auto,Four-Door Car,41.122303
California,,Bachelor,58166.553499999995,61321.0,186.0,1,Personal Auto,Luxury Car,427.63121
California,,College,8025.229399999999,0.0,77.0,0,Personal Auto,Two-Door Car,25.807685
California,,High School or Below,5780.182199999999,51066.0,74.0,0,Personal Auto,Four-Door Car,787.993313
California,,Doctor,4118.5391,34378.0,102.0,0,Personal Auto,SUV,489.6
Nevada,,Master,2523.0702,43072.0,63.0,0,Personal Auto,Four-Door Car,302.4
Oregon,,College,6554.2164,25222.0,90.0,0,Personal Auto,Four-Door Car,475.623251
Washington,Female,Bachelor,5382.7519999999995,77552.0,68.0,1,Corporate Auto,Four-Door Car,45.215059
California,,College,5926.729399999999,23091.0,96.0,5,Personal Auto,Four-Door Car,460.8
California,,Bachelor,2683.4707,48269.0,69.0,3,Corporate Auto,Four-Door Car,282.151207
Oregon,,Bachelor,2695.1823999999997,32720.0,67.0,0,Personal Auto,Four-Door Car,321.6
California,,College,6047.0252,20396.0,76.0,1,Personal Auto,Four-Door Car,364.8
Oregon,,College,13171.0128,21513.0,119.0,1,Personal Auto,Two-Door Car,679.827592
Washington,Female,College,15950.0195,0.0,87.0,1,Personal Auto,Two-Door Car,46.041452
Oregon,,Bachelor,2527.6538,80744.0,63.0,0,Corporate Auto,Four-Door Car,11.879037
Oregon,,Bachelor,2672.0958,52822.0,67.0,0,Corporate Auto,Two-Door Car,350.529033
California,,High School or Below,5313.294,0.0,77.0,1,Personal Auto,Four-Door Car,863.3947
Oregon,,Bachelor,20946.1925,69738.0,74.0,1,Personal Auto,Four-Door Car,492.127532
Arizona,,Master,8375.3539,17780.0,109.0,0,Personal Auto,SUV,132.588288
California,,Bachelor,4801.6615,18107.0,62.0,0,Personal Auto,Four-Door Car,297.6
Arizona,,Bachelor,5745.9433,57740.0,74.0,3,Personal Auto,Four-Door Car,269.905129
Oregon,,College,6066.116,32627.0,76.0,0,Personal Auto,Two-Door Car,380.036697
California,,College,8002.3083,0.0,107.0,0,Personal Auto,SUV,513.6
California,,College,2393.9154,0.0,70.0,0,Personal Auto,Four-Door Car,425.266308
Oregon,,Bachelor,4762.8179,65795.0,62.0,1,Corporate Auto,Two-Door Car,49.011099
California,,College,4330.3859999999995,60475.0,107.0,0,Personal Auto,Four-Door Car,513.6
California,,High School or Below,9402.7298,0.0,130.0,0,Personal Auto,SUV,936.0
Oregon,,Bachelor,6966.6945,41837.0,88.0,0,Personal Auto,Four-Door Car,142.062768
California,,Bachelor,7694.064300000001,32303.0,65.0,0,Personal Auto,Four-Door Car,45.152521
Oregon,,High School or Below,8717.561099999999,0.0,117.0,1,Personal Auto,SUV,561.6
California,,Bachelor,5928.7485,40531.0,74.0,0,Personal Auto,Two-Door Car,30.567357
Oregon,,College,2452.9773,79898.0,62.0,1,Corporate Auto,Four-Door Car,271.606799
California,,College,6701.5717,56398.0,85.0,0,Personal Auto,Four-Door Car,408.0
Washington,Male,High School or Below,4996.5527,71600.0,63.0,0,Personal Auto,Two-Door Car,46.158117
Arizona,,College,8492.6988,27804.0,109.0,0,Personal Auto,SUV,784.8
Oregon,,Bachelor,7713.494000000001,45506.0,66.0,2,Personal Auto,Four-Door Car,316.8
Washington,Female,Master,5185.7976,99428.0,6464.0,1,Personal Auto,Four-Door Car,48.046869
California,,High School or Below,7290.0698,0.0,102.0,1,Corporate Auto,SUV,489.6
Oregon,,High School or Below,4772.9438,20993.0,133.0,0,Personal Auto,SUV,638.4
Arizona,,High School or Below,6806.4914,37839.0,86.0,0,Personal Auto,Two-Door Car,465.633954
California,,Bachelor,2469.7813,92711.0,62.0,0,Personal Auto,Two-Door Car,368.400146
California,,College,3103.923,74665.0,78.0,2,Corporate Auto,Four-Door Car,236.902001
Washington,Female,College,10484.9154,61108.0,89.0,0,Personal Auto,Four-Door Car,49.451117
California,,Bachelor,8902.7376,46833.0,112.0,0,Personal Auto,Sports Car,64.109663
Oregon,,High School or Below,5499.4472,88768.0,68.0,0,Personal Auto,Two-Door Car,326.4
California,,High School or Below,15023.598600000001,28262.0,192.0,0,Personal Auto,Luxury SUV,921.6
Nevada,,Bachelor,2509.1079,33555.0,63.0,0,Personal Auto,Four-Door Car,101.89645
Oregon,,College,31221.7481,42780.0,113.0,1,Personal Auto,Four-Door Car,542.4
Oregon,,Master,3133.5034,58850.0,78.0,0,Personal Auto,Four-Door Car,143.747794
Arizona,,College,3837.4519,21880.0,97.0,0,Special Auto,Four-Door Car,424.077159
Oregon,,College,11790.496200000001,25251.0,66.0,0,Personal Auto,Four-Door Car,316.8
Washington,Female,High School or Below,2829.8639000000003,25317.0,71.0,0,Personal Auto,Two-Door Car,50.422181
Arizona,,High School or Below,4305.808300000001,24188.0,109.0,0,Personal Auto,Sports Car,523.2
Nevada,,Bachelor,5973.9769,41611.0,74.0,0,Special Auto,Four-Door Car,113.801497
Oregon,,Bachelor,5670.4424,28406.0,72.0,1,Personal Auto,Four-Door Car,192.87572
Arizona,,College,4731.7492999999995,69833.0,118.0,0,Personal Auto,Four-Door Car,828.662719
Arizona,,High School or Below,8026.379599999999,0.0,74.0,0,Corporate Auto,Four-Door Car,532.8
Arizona,,High School or Below,4022.9635,0.0,117.0,0,Personal Auto,SUV,975.107098
Oregon,,High School or Below,9618.3109,80536.0,119.0,0,Special Auto,Sports Car,53.798708
Washington,Female,Bachelor,7255.9538,88891.0,89.0,0,Personal Auto,Four-Door Car,50.528355
Oregon,,College,9552.926899999999,97732.0,79.0,0,Personal Auto,Four-Door Car,289.9122
Arizona,Female,Bachelor,10388.5532,61222.0,89.0,0,Special Auto,Four-Door Car,392.604371
Oregon,Male,College,2470.1212,0.0,74.0,0,Personal Auto,Two-Door Car,721.242206
Arizona,Male,Master,5619.068499999999,50335.0,140.0,0,Personal Auto,SUV,456.52385
California,Female,High School or Below,9047.119200000001,0.0,127.0,0,Personal Auto,Sports Car,1087.995426
Washington,Female,Doctor,2687.3140999999996,82210.0,68.0,4,Personal Auto,Four-Door Car,51.961915
Oregon,Female,High School or Below,3731.5046,0.0,96.0,0,Personal Auto,Four-Door Car,460.8
Nevada,Male,Bachelor,3660.7703,64495.0,92.0,0,Corporate Auto,Four-Door Car,251.992083
California,Female,College,7928.8293,0.0,72.0,0,Corporate Auto,Four-Door Car,345.6
Arizona,Female,Bachelor,5011.7516,28859.0,67.0,3,Corporate Auto,Two-Door Car,321.6
Arizona,Female,High School or Below,7988.2582999999995,77330.0,99.0,0,Personal Auto,Four-Door Car,99.257608
Oregon,Male,College,3885.4564,0.0,105.0,0,Corporate Auto,Four-Door Car,504.0
Washington,Female,High School or Below,9357.7378,33060.0,117.0,0,Personal Auto,Four-Door Car,56.731578
Washington,Male,Master,2540.6898,42557.0,65.0,0,Personal Auto,Four-Door Car,57.562324
Arizona,Male,High School or Below,4885.1625,26372.0,126.0,0,Personal Auto,SUV,604.8
Arizona,Female,Bachelor,9753.3071,17514.0,127.0,0,Personal Auto,SUV,8.312729
California,Female,Bachelor,2946.1537,89270.0,74.0,0,Personal Auto,Four-Door Car,316.599228
California,Male,High School or Below,2581.1109,29757.0,65.0,0,Personal Auto,Four-Door Car,312.0
Oregon,Male,College,3517.3858,51814.0,92.0,0,Personal Auto,Four-Door Car,56.300724
Oregon,Female,Bachelor,9743.3501,24028.0,82.0,0,Personal Auto,Four-Door Car,393.6
Arizona,Male,College,3873.647,28142.0,105.0,0,Personal Auto,Sports Car,701.708239
Arizona,Female,Bachelor,7649.281999999999,52705.0,64.0,1,Personal Auto,Two-Door Car,128.705563
California,Male,High School or Below,2287.5969,0.0,63.0,0,Corporate Auto,Two-Door Car,679.368378
Washington,Female,High School or Below,8255.7639,54040.0,103.0,0,Personal Auto,SUV,59.987126
California,Female,College,8714.9221,0.0,118.0,0,Personal Auto,SUV,566.4
Washington,Female,Doctor,6819.2312,22492.0,85.0,0,Personal Auto,Two-Door Car,61.654262
California,Male,Bachelor,7416.1973,0.0,77.0,2,Personal Auto,Four-Door Car,554.4
Oregon,Male,Master,7771.159000000001,21876.0,68.0,0,Personal Auto,Four-Door Car,465.41477
California,Female,Bachelor,6968.341899999999,0.0,69.0,1,Personal Auto,Four-Door Car,496.8
California,Female,High School or Below,4250.2826000000005,0.0,61.0,1,Personal Auto,Four-Door Car,292.8
Oregon,Female,High School or Below,19776.5665,70699.0,82.0,0,Personal Auto,Four-Door Car,256.813837
California,Female,High School or Below,21343.466,0.0,74.0,1,Personal Auto,Four-Door Car,355.2
California,Male,College,2413.1397,27501.0,63.0,0,Personal Auto,Four-Door Car,542.319401
Oregon,Female,Doctor,15363.8472,15897.0,101.0,0,Personal Auto,Four-Door Car,303.148399
Nevada,Female,College,8456.9619,25141.0,73.0,1,Personal Auto,Four-Door Car,25.438063
Nevada,Female,College,2189.6425,0.0,61.0,3,Personal Auto,Four-Door Car,292.8
California,Male,High School or Below,5780.182199999999,51066.0,74.0,0,Personal Auto,Four-Door Car,787.993313
California,Female,Bachelor,4639.9816,28358.0,117.0,0,Personal Auto,Sports Car,84.024413
Washington,Female,Doctor,3824.4313,62530.0,95.0,0,Personal Auto,Four-Door Car,61.693771
Arizona,Female,Bachelor,5968.1189,90972.0,74.0,0,Personal Auto,Two-Door Car,232.926145
Washington,Female,Bachelor,8590.335,63110.0,72.0,0,Personal Auto,Four-Door Car,68.179721
California,Female,Bachelor,4076.6346999999996,29549.0,104.0,0,Personal Auto,Sports Car,710.433775
California,Female,Bachelor,12252.601799999999,0.0,115.0,1,Personal Auto,Four-Door Car,552.0
Nevada,Female,Bachelor,16936.2715,39411.0,217.0,2,Personal Auto,Luxury Car,1122.658899
Oregon,Male,High School or Below,4892.4355,21709.0,62.0,0,Personal Auto,Four-Door Car,408.374746
Nevada,Male,Bachelor,9942.3048,67890.0,85.0,0,Personal Auto,Four-Door Car,408.0
California,Male,Bachelor,3735.8381,0.0,110.0,0,Personal Auto,SUV,792.0
California,Female,High School or Below,13117.5222,84311.0,111.0,4,Personal Auto,SUV,532.8
California,Female,College,4574.5241,99316.0,114.0,0,Corporate Auto,SUV,754.358929
Arizona,Female,Bachelor,5470.060600000001,54507.0,138.0,0,Personal Auto,SUV,702.990032
California,Female,Bachelor,2978.8459999999995,64586.0,76.0,0,Personal Auto,Four-Door Car,206.837111
Oregon,Male,College,6410.9675,61709.0,82.0,2,Personal Auto,Four-Door Car,275.395894
California,Male,Master,4479.0231,94656.0,111.0,1,Special Auto,SUV,459.738128
California,Female,High School or Below,2383.7319,0.0,69.0,0,Special Auto,Two-Door Car,496.8
California,Male,Bachelor,2764.4937,61085.0,70.0,1,Personal Auto,Two-Door Car,336.0
Oregon,Female,Bachelor,7920.1054,89284.0,67.0,3,Personal Auto,Two-Door Car,321.6
Arizona,Female,High School or Below,6889.098000000001,0.0,63.0,0,Personal Auto,Four-Door Car,302.4
Washington,Female,Bachelor,3274.1946000000003,31686.0,81.0,0,Personal Auto,Four-Door Car,430.994107
Oregon,Male,High School or Below,9951.7077,56855.0,255.0,0,Corporate Auto,Luxury SUV,1836.0
Oregon,Male,Bachelor,2521.5557,53703.0,67.0,2,Special Auto,Four-Door Car,67.632476
Washington,Female,High School or Below,23706.1134,0.0,96.0,1,Personal Auto,Two-Door Car,844.481918
California,Male,College,6047.0252,20396.0,76.0,1,Personal Auto,Four-Door Car,364.8
California,Female,Master,11140.3025,27679.0,150.0,0,Personal Auto,SUV,722.486994
Nevada,Female,Bachelor,4334.0641,23904.0,123.0,3,Personal Auto,SUV,590.4
Arizona,Female,High School or Below,2799.7479,65351.0,69.0,0,Corporate Auto,Four-Door Car,481.027516
California,Male,College,7923.136600000001,0.0,113.0,0,Personal Auto,SUV,1124.427734
California,Male,High School or Below,3688.1109,0.0,63.0,3,Personal Auto,Four-Door Car,669.682001
California,Male,College,12067.456,0.0,116.0,0,Personal Auto,SUV,1284.093173
California,Female,College,2924.9766999999997,64459.0,72.0,0,Personal Auto,Four-Door Car,240.259479
California,Male,College,15014.092700000001,32961.0,190.0,0,Corporate Auto,SUV,912.0
Oregon,Female,High School or Below,9277.2338,71416.0,116.0,0,Corporate Auto,SUV,556.8
Washington,Female,Bachelor,6274.1239000000005,68964.0,78.0,0,Personal Auto,Four-Door Car,115.086827
California,Male,High School or Below,3886.6474,78108.0,98.0,0,Personal Auto,Two-Door Car,470.4
California,Male,College,4386.2776,10621.0,67.0,0,Special Auto,Four-Door Car,321.6
Washington,Male,College,11365.2677,84910.0,95.0,0,Corporate Auto,Two-Door Car,383.167471
California,Female,High School or Below,5610.964300000001,77493.0,70.0,0,Special Auto,Four-Door Car,307.963291
Arizona,Male,College,2912.8920000000003,81097.0,74.0,0,Personal Auto,Four-Door Car,355.2
Oregon,Female,College,6915.7299,96610.0,85.0,0,Corporate Auto,Four-Door Car,520.364752
Oregon,Male,College,6262.663299999999,30110.0,159.0,0,Corporate Auto,Sports Car,466.436375
Oregon,Female,High School or Below,6503.397,22081.0,84.0,0,Special Auto,Two-Door Car,451.670309
Washington,Female,High School or Below,8007.399399999999,0.0,112.0,0,Personal Auto,Sports Car,537.6
California,Male,College,2929.9165000000003,98473.0,72.0,0,Personal Auto,Four-Door Car,345.6
Oregon,Female,Bachelor,5969.553000000001,97431.0,74.0,0,Personal Auto,Four-Door Car,355.2
California,Male,Bachelor,5473.1599,93870.0,69.0,0,Personal Auto,Four-Door Car,331.2
Nevada,Male,High School or Below,5645.3967,50366.0,72.0,0,Personal Auto,Four-Door Car,428.734656
Washington,Male,High School or Below,6369.2624,34498.0,83.0,0,Personal Auto,Two-Door Car,398.4
Oregon,Female,College,11833.7673,16552.0,103.0,0,Personal Auto,SUV,494.4
Oregon,Female,College,6121.1079,26787.0,77.0,0,Personal Auto,Four-Door Car,369.6
Nevada,Male,College,5159.369699999999,0.0,74.0,0,Personal Auto,Two-Door Car,831.752839
Nevada,Female,High School or Below,2514.592,43860.0,65.0,0,Corporate Auto,Four-Door Car,156.124914
Arizona,Male,High School or Below,8668.6113,21474.0,114.0,2,Corporate Auto,SUV,373.428187
California,Male,Bachelor,4960.9654,18174.0,66.0,0,Corporate Auto,Four-Door Car,395.934815
Arizona,Female,Bachelor,5504.139,0.0,73.0,0,Corporate Auto,Four-Door Car,350.4
Arizona,Male,College,7507.455400000001,60920.0,64.0,0,Personal Auto,Two-Door Car,231.201886
Arizona,Male,High School or Below,32269.8514,41520.0,90.0,0,Personal Auto,Four-Door Car,289.904105
Oregon,Female,Bachelor,5657.0316,0.0,152.0,0,Personal Auto,SUV,729.6
Arizona,Male,High School or Below,5061.7579,0.0,68.0,0,Personal Auto,Two-Door Car,326.4
California,Male,Bachelor,5912.7838,72208.0,73.0,0,Personal Auto,Two-Door Car,350.4
California,Female,Bachelor,15182.2798,53863.0,63.0,0,Personal Auto,Four-Door Car,105.765111
Washington,Male,College,10747.030900000002,66446.0,136.0,0,Corporate Auto,SUV,639.464548
Washington,Male,College,2050.6235,0.0,61.0,0,Personal Auto,Four-Door Car,292.8
Washington,Female,Bachelor,2465.4449,64997.0,63.0,1,Personal Auto,Four-Door Car,383.442328
Nevada,Female,High School or Below,5343.1213,64460.0,66.0,0,Corporate Auto,Two-Door Car,316.8
Arizona,Female,College,8119.8291,46618.0,67.0,0,Personal Auto,Four-Door Car,99.085943
Oregon,Female,College,4605.2652,0.0,64.0,0,Corporate Auto,Four-Door Car,307.2
California,Male,College,6408.7856,49988.0,84.0,5,Personal Auto,Two-Door Car,566.935022
California,Female,College,2376.5335,0.0,91.0,5,Personal Auto,Two-Door Car,436.8
California,Male,Bachelor,3211.07,16269.0,86.0,0,Corporate Auto,Two-Door Car,412.8
Arizona,Female,Bachelor,5094.5223,72006.0,64.0,0,Personal Auto,Four-Door Car,307.2
Arizona,Female,High School or Below,25755.278199999997,0.0,81.0,2,Personal Auto,Four-Door Car,388.8
Oregon,Male,Bachelor,8672.2297,0.0,245.0,0,Corporate Auto,Luxury SUV,2345.413441
California,Male,Master,8044.730699999999,44320.0,67.0,0,Personal Auto,Four-Door Car,321.6
Arizona,Female,High School or Below,4001.5190999999995,19782.0,108.0,0,Personal Auto,Two-Door Car,773.470977
Nevada,Female,Bachelor,16706.117,63933.0,70.0,0,Personal Auto,Two-Door Car,424.883448
Arizona,Male,Doctor,8544.4111,28224.0,109.0,0,Personal Auto,SUV,523.2
Washington,Female,College,7805.312900000001,21073.0,106.0,1,Personal Auto,SUV,508.8
Oregon,Male,Bachelor,6112.756899999999,63243.0,77.0,0,Personal Auto,Four-Door Car,364.240307
Nevada,Male,High School or Below,4772.9438,20993.0,133.0,0,Personal Auto,SUV,638.4
Oregon,Female,Bachelor,10979.0956,94827.0,135.0,0,Personal Auto,SUV,354.729129
California,Female,Master,5004.2638,39161.0,63.0,1,Personal Auto,Two-Door Car,283.995953
Washington,Male,Bachelor,13223.0438,37534.0,84.0,2,Personal Auto,Four-Door Car,403.2
Oregon,Female,Bachelor,2623.3154,80210.0,65.0,0,Corporate Auto,Four-Door Car,20.543176
California,Male,Bachelor,17840.1956,0.0,62.0,0,Personal Auto,Four-Door Car,385.115437
California,Female,College,5106.1118,30110.0,64.0,0,Personal Auto,Four-Door Car,140.165035
Arizona,Female,College,17930.6045,21708.0,68.0,0,Personal Auto,Four-Door Car,326.4
Arizona,Male,High School or Below,5457.3426,94731.0,67.0,0,Personal Auto,Four-Door Car,321.6
California,Male,Bachelor,6563.6441,32375.0,83.0,0,Personal Auto,Four-Door Car,398.4
Oregon,Male,College,4812.5252,16531.0,63.0,0,Corporate Auto,Four-Door Car,102.879769
Arizona,Female,Master,29328.0419,32006.0,94.0,0,Corporate Auto,Four-Door Car,56.868289
Arizona,Female,Bachelor,5773.520699999999,81676.0,72.0,0,Personal Auto,Two-Door Car,463.158502
California,Male,College,6847.1189,71038.0,86.0,0,Corporate Auto,Four-Door Car,205.444066
Arizona,Female,High School or Below,3595.3129,0.0,103.0,0,Corporate Auto,Sports Car,741.6
Nevada,Female,Master,22855.6121,20832.0,65.0,0,Personal Auto,Two-Door Car,56.371967
Washington,Male,High School or Below,7859.4146,0.0,113.0,0,Personal Auto,SUV,813.6
Oregon,Male,High School or Below,4115.5774,52405.0,103.0,0,Personal Auto,Four-Door Car,494.4
Arizona,Female,High School or Below,5029.6388,0.0,133.0,0,Personal Auto,Sports Car,795.864079
Washington,Female,Bachelor,4821.4185,26583.0,1005.0,4,Personal Auto,SUV,614.4
Oregon,Male,Master,5004.3105,25486.0,65.0,0,Special Auto,Two-Door Car,72.438681
Arizona,Male,College,8630.0539,24065.0,111.0,0,Corporate Auto,Four-Door Car,532.8
Arizona,Female,High School or Below,9322.0851,70435.0,116.0,0,Personal Auto,Four-Door Car,67.881546
California,Male,College,16727.5606,0.0,76.0,2,Personal Auto,Two-Door Car,402.636829
Oregon,Female,High School or Below,3652.5324,39679.0,92.0,0,Personal Auto,Two-Door Car,641.388616
Nevada,Male,College,6158.6012,0.0,89.0,0,Personal Auto,Four-Door Car,342.481173
California,Male,Bachelor,4376.084,0.0,69.0,4,Personal Auto,Two-Door Car,331.2
Nevada,Male,High School or Below,5569.4562,53565.0,71.0,1,Personal Auto,Four-Door Car,340.8
Washington,Male,Bachelor,2576.513,37574.0,66.0,1,Personal Auto,Two-Door Car,412.101933
Washington,Male,Bachelor,8346.983199999999,48259.0,108.0,0,Personal Auto,Two-Door Car,73.700573
Arizona,Female,High School or Below,6323.9239,78532.0,78.0,0,Personal Auto,Four-Door Car,374.4
Arizona,Female,Bachelor,5973.1434,96163.0,73.0,0,Corporate Auto,Four-Door Car,350.4
California,Male,Bachelor,4706.677,0.0,72.0,0,Personal Auto,Four-Door Car,345.6
California,Male,High School or Below,8093.4103000000005,0.0,114.0,1,Personal Auto,Sports Car,722.024742
Washington,Male,College,5035.7446,72672.0,63.0,0,Personal Auto,Four-Door Car,259.361117
Oregon,Female,Bachelor,9027.8672,99002.0,112.0,1,Personal Auto,Four-Door Car,537.6
California,Male,High School or Below,7288.8848,79494.0,91.0,0,Personal Auto,Four-Door Car,396.295614
Oregon,Male,Master,18042.4794,35704.0,225.0,0,Personal Auto,Luxury Car,358.281562
Arizona,Female,Bachelor,4992.063,0.0,71.0,0,Corporate Auto,Four-Door Car,653.388564
Oregon,Female,High School or Below,9102.2678,26049.0,118.0,0,Personal Auto,Two-Door Car,121.032372
