zone,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
central,female,bachelor,5968.1189,90972.0,74.0,0.0,personal auto,two-door car,232.926145
east,female,bachelor,8590.335,63110.0,72.0,0.0,personal auto,four-door car,68.179721
west region,female,bachelor,4076.6347,29549.0,104.0,0.0,personal auto,sports car,710.433775
west region,female,bachelor,12252.6018,,115.0,1.0,personal auto,four-door car,552.0
central,female,bachelor,16936.2715,39411.0,217.0,2.0,personal auto,luxury car,1122.658899
north west,male,high school or below,4892.4355,21709.0,62.0,0.0,personal auto,four-door car,408.374746
central,male,bachelor,9942.3048,67890.0,85.0,0.0,personal auto,four-door car,408.0
west region,male,bachelor,3735.8381,,110.0,0.0,personal auto,suv,792.0
west region,female,high school or below,13117.5222,84311.0,111.0,4.0,personal auto,suv,532.8
west region,female,bachelor,4574.5241,99316.0,114.0,0.0,corporate auto,suv,754.358929
central,female,bachelor,5470.060600000001,54507.0,138.0,0.0,personal auto,suv,702.990032
west region,female,bachelor,2978.8459999999995,64586.0,76.0,0.0,personal auto,four-door car,206.837111
north west,male,bachelor,6410.9675,61709.0,82.0,2.0,personal auto,four-door car,275.395894
west region,male,master,4479.0231,94656.0,111.0,1.0,special auto,suv,459.738128
west region,female,high school or below,2383.7319,,69.0,0.0,special auto,two-door car,496.8
west region,male,bachelor,2764.4937,61085.0,70.0,1.0,personal auto,two-door car,336.0
north west,female,bachelor,7920.1054,89284.0,67.0,3.0,personal auto,two-door car,321.6
central,female,high school or below,6889.098000000001,,63.0,0.0,personal auto,four-door car,302.4
east,female,bachelor,3274.1946000000003,31686.0,81.0,0.0,personal auto,four-door car,430.994107
north west,male,high school or below,9951.7077,56855.0,255.0,0.0,corporate auto,luxury suv,1836.0
north west,male,bachelor,2521.5557,53703.0,67.0,2.0,special auto,four-door car,67.632476
east,female,high school or below,23706.1134,,96.0,1.0,personal auto,two-door car,844.481918
west region,male,bachelor,6047.0252,20396.0,76.0,1.0,personal auto,four-door car,364.8
west region,female,master,11140.3025,27679.0,150.0,0.0,personal auto,suv,722.486994
central,female,bachelor,4334.0641,23904.0,123.0,3.0,personal auto,suv,590.4
central,female,high school or below,2799.7479,65351.0,69.0,0.0,corporate auto,four-door car,481.027516
west region,male,bachelor,7923.136600000001,,113.0,0.0,personal auto,suv,1124.427734
west region,male,high school or below,3688.1109,,63.0,3.0,personal auto,four-door car,669.682001
west region,male,bachelor,12067.456,,116.0,0.0,personal auto,suv,1284.093173
west region,female,bachelor,2924.9767,64459.0,72.0,0.0,personal auto,four-door car,240.259479
west region,male,bachelor,15014.0927,32961.0,190.0,0.0,corporate auto,suv,912.0
north west,female,high school or below,9277.2338,71416.0,116.0,0.0,corporate auto,suv,556.8
east,female,bachelor,6274.1239000000005,68964.0,78.0,0.0,personal auto,four-door car,115.086827
west region,male,high school or below,3886.6474,78108.0,98.0,0.0,personal auto,two-door car,470.4
west region,male,bachelor,4386.2776,10621.0,67.0,0.0,special auto,four-door car,321.6
east,male,bachelor,11365.2677,84910.0,95.0,0.0,corporate auto,two-door car,383.167471
west region,female,high school or below,5610.964300000001,77493.0,70.0,0.0,special auto,four-door car,307.963291
central,male,bachelor,2912.8920000000003,81097.0,74.0,0.0,personal auto,four-door car,355.2
north west,female,bachelor,6915.7299,96610.0,85.0,0.0,corporate auto,four-door car,520.364752
north west,male,bachelor,6262.663299999999,30110.0,159.0,0.0,corporate auto,sports car,466.436375
north west,female,high school or below,6503.397,22081.0,84.0,0.0,special auto,two-door car,451.670309
east,female,high school or below,8007.399399999999,,112.0,0.0,personal auto,sports car,537.6
west region,male,bachelor,2929.9165000000003,98473.0,72.0,0.0,personal auto,four-door car,345.6
north west,female,bachelor,5969.553000000001,97431.0,74.0,0.0,personal auto,four-door car,355.2
west region,male,bachelor,5473.1599,93870.0,69.0,0.0,personal auto,four-door car,331.2
central,male,high school or below,5645.3967,50366.0,72.0,0.0,personal auto,four-door car,428.734656
east,male,high school or below,6369.2624,34498.0,83.0,0.0,personal auto,two-door car,398.4
north west,female,bachelor,11833.7673,16552.0,103.0,0.0,personal auto,suv,494.4
north west,female,bachelor,6121.1079,26787.0,77.0,0.0,personal auto,four-door car,369.6
central,male,bachelor,5159.369699999999,,74.0,0.0,personal auto,two-door car,831.752839
central,female,high school or below,2514.592,43860.0,65.0,0.0,corporate auto,four-door car,156.124914
central,male,high school or below,8668.6113,21474.0,114.0,2.0,corporate auto,suv,373.428187
west region,male,bachelor,4960.9654,18174.0,66.0,0.0,corporate auto,four-door car,395.934815
central,female,bachelor,5504.139,,73.0,0.0,corporate auto,four-door car,350.4
central,male,bachelor,7507.455400000001,60920.0,64.0,0.0,personal auto,two-door car,231.201886
central,male,high school or below,32269.8514,41520.0,90.0,0.0,personal auto,four-door car,289.904105
north west,female,bachelor,5657.0316,,152.0,0.0,personal auto,suv,729.6
central,male,high school or below,5061.7579,,68.0,0.0,personal auto,two-door car,326.4
west region,male,bachelor,5912.7838,72208.0,73.0,0.0,personal auto,two-door car,350.4
west region,female,bachelor,15182.2798,53863.0,63.0,0.0,personal auto,four-door car,105.765111
east,male,bachelor,10747.030900000002,66446.0,136.0,0.0,corporate auto,suv,639.464548
east,male,bachelor,2050.6235,,61.0,0.0,personal auto,four-door car,292.8
east,female,bachelor,2465.4449,64997.0,63.0,1.0,personal auto,four-door car,383.442328
central,female,high school or below,5343.1213,64460.0,66.0,0.0,corporate auto,two-door car,316.8
central,female,bachelor,8119.8291,46618.0,67.0,0.0,personal auto,four-door car,99.085943
north west,female,bachelor,4605.2652,,64.0,0.0,corporate auto,four-door car,307.2
west region,male,bachelor,6408.7856,49988.0,84.0,5.0,personal auto,two-door car,566.935022
west region,female,bachelor,2376.5335,,91.0,5.0,personal auto,two-door car,436.8
west region,male,bachelor,3211.07,16269.0,86.0,0.0,corporate auto,two-door car,412.8
central,female,bachelor,5094.5223,72006.0,64.0,0.0,personal auto,four-door car,307.2
central,female,high school or below,25755.2782,,81.0,2.0,personal auto,four-door car,388.8
north west,male,bachelor,8672.2297,,245.0,0.0,corporate auto,luxury suv,2345.413441
west region,male,master,8044.730699999999,44320.0,67.0,0.0,personal auto,four-door car,321.6
central,female,high school or below,4001.5191,19782.0,108.0,0.0,personal auto,two-door car,773.470977
central,female,bachelor,16706.117,63933.0,70.0,0.0,personal auto,two-door car,424.883448
central,male,doctor,8544.4111,28224.0,109.0,0.0,personal auto,suv,523.2
east,female,bachelor,7805.312900000001,21073.0,106.0,1.0,personal auto,suv,508.8
north west,male,bachelor,6112.756899999999,63243.0,77.0,0.0,personal auto,four-door car,364.240307
central,male,high school or below,4772.9438,20993.0,133.0,0.0,personal auto,suv,638.4
north west,female,bachelor,10979.0956,94827.0,135.0,0.0,personal auto,suv,354.729129
west region,female,master,5004.2638,39161.0,63.0,1.0,personal auto,two-door car,283.995953
east,male,bachelor,13223.0438,37534.0,84.0,2.0,personal auto,four-door car,403.2
north west,female,bachelor,2623.3154,80210.0,65.0,0.0,corporate auto,four-door car,20.543176
west region,male,bachelor,17840.1956,,62.0,0.0,personal auto,four-door car,385.115437
west region,female,bachelor,5106.1118,30110.0,64.0,0.0,personal auto,four-door car,140.165035
central,female,bachelor,17930.6045,21708.0,68.0,0.0,personal auto,four-door car,326.4
central,male,high school or below,5457.3426,94731.0,67.0,0.0,personal auto,four-door car,321.6
west region,male,bachelor,6563.6441,32375.0,83.0,0.0,personal auto,four-door car,398.4
north west,male,bachelor,4812.5252,16531.0,63.0,0.0,corporate auto,four-door car,102.879769
central,female,master,29328.0419,32006.0,94.0,0.0,corporate auto,four-door car,56.868289
central,female,bachelor,5773.520699999999,81676.0,72.0,0.0,personal auto,two-door car,463.158502
west region,male,bachelor,6847.1189,71038.0,86.0,0.0,corporate auto,four-door car,205.444066
central,female,high school or below,3595.3129,,103.0,0.0,corporate auto,sports car,741.6
central,female,master,22855.6121,20832.0,65.0,0.0,personal auto,two-door car,56.371967
east,male,high school or below,7859.4146,,113.0,0.0,personal auto,suv,813.6
north west,male,high school or below,4115.5774,52405.0,103.0,0.0,personal auto,four-door car,494.4
central,female,high school or below,5029.6388,,133.0,0.0,personal auto,sports car,795.864079
east,female,bachelor,4821.4185,26583.0,1005.0,4.0,personal auto,suv,614.4
north west,male,master,5004.3105,25486.0,65.0,0.0,special auto,two-door car,72.438681
central,male,bachelor,8630.0539,24065.0,111.0,0.0,corporate auto,four-door car,532.8
central,female,high school or below,9322.0851,70435.0,116.0,0.0,personal auto,four-door car,67.881546
west region,male,bachelor,16727.5606,,76.0,2.0,personal auto,two-door car,402.636829
north west,female,high school or below,3652.5324,39679.0,92.0,0.0,personal auto,two-door car,641.388616
central,male,bachelor,6158.6012,,89.0,0.0,personal auto,four-door car,342.481173
west region,male,bachelor,4376.084,,69.0,4.0,personal auto,two-door car,331.2
central,male,high school or below,5569.4562,53565.0,71.0,1.0,personal auto,four-door car,340.8
east,male,bachelor,2576.513,37574.0,66.0,1.0,personal auto,two-door car,412.101933
east,male,bachelor,8346.983199999999,48259.0,108.0,0.0,personal auto,two-door car,73.700573
central,female,high school or below,6323.9239,78532.0,78.0,0.0,personal auto,four-door car,374.4
central,female,bachelor,5973.1434,96163.0,73.0,0.0,corporate auto,four-door car,350.4
west region,male,bachelor,4706.677,,72.0,0.0,personal auto,four-door car,345.6
west region,male,high school or below,8093.4103,,114.0,1.0,personal auto,sports car,722.024742
east,male,bachelor,5035.7446,72672.0,63.0,0.0,personal auto,four-door car,259.361117
north west,female,bachelor,9027.8672,99002.0,112.0,1.0,personal auto,four-door car,537.6
west region,male,high school or below,7288.8848,79494.0,91.0,0.0,personal auto,four-door car,396.295614
north west,male,master,18042.4794,35704.0,225.0,0.0,personal auto,luxury car,358.281562
central,female,bachelor,4992.063,,71.0,0.0,corporate auto,four-door car,653.388564
north west,female,high school or below,9102.2678,26049.0,118.0,0.0,personal auto,two-door car,121.032372
central,male,doctor,2540.4077,70125.0,64.0,0.0,special auto,four-door car,92.813396
west region,male,bachelor,12941.8919,52369.0,110.0,1.0,personal auto,suv,528.0
east,female,bachelor,2365.3486,,66.0,2.0,special auto,four-door car,159.636956
central,male,bachelor,5720.7651000000005,41770.0,72.0,0.0,personal auto,four-door car,476.156957
north west,male,high school or below,7035.534100000001,,101.0,0.0,corporate auto,four-door car,727.2
west region,male,bachelor,2636.9777000000004,31911.0,67.0,0.0,personal auto,four-door car,321.6
central,male,bachelor,5395.831999999999,70051.0,68.0,0.0,corporate auto,four-door car,42.078345
north west,male,high school or below,8382.6301,19683.0,117.0,1.0,personal auto,sports car,561.6
east,female,bachelor,31161.7452,30916.0,112.0,0.0,personal auto,suv,200.11606
north west,female,bachelor,2887.7423,,80.0,0.0,personal auto,four-door car,676.944023
east,male,bachelor,7425.8453,84302.0,62.0,0.0,personal auto,four-door car,76.609295
west region,male,bachelor,25585.7278,,116.0,0.0,corporate auto,suv,830.623064
north west,male,bachelor,10272.6082,60145.0,132.0,0.0,personal auto,suv,580.473259
north west,female,bachelor,4376.3636,63774.0,111.0,0.0,personal auto,four-door car,60.036683
west region,female,bachelor,5318.8966,25134.0,67.0,0.0,corporate auto,four-door car,321.6
north west,male,bachelor,4719.7622,37057.0,61.0,1.0,personal auto,four-door car,47.53101
north west,female,high school or below,4428.031599999999,58577.0,110.0,0.0,personal auto,suv,303.872752
west region,male,high school or below,5879.1761,85857.0,73.0,0.0,corporate auto,four-door car,100.620067
north west,female,doctor,9416.9085,70602.0,116.0,0.0,personal auto,suv,481.339891
north west,female,master,8288.1556,33816.0,106.0,2.0,corporate auto,four-door car,508.8
north west,male,bachelor,32654.8383,,153.0,0.0,personal auto,suv,1101.6
north west,female,bachelor,4719.4501,89642.0,121.0,4.0,corporate auto,suv,86.320022
west region,female,bachelor,3903.4748,60068.0,98.0,0.0,personal auto,two-door car,470.4
west region,female,bachelor,5457.2597,50044.0,139.0,0.0,personal auto,suv,667.2
west region,female,master,2725.3564,36650.0,69.0,1.0,personal auto,four-door car,56.60333
central,female,bachelor,4433.9737,50653.0,110.0,0.0,corporate auto,suv,262.865172
central,female,doctor,5332.4627,68931.0,66.0,0.0,personal auto,four-door car,309.577946
north west,male,bachelor,2315.095,,73.0,1.0,corporate auto,four-door car,350.4
west region,female,bachelor,5411.9537,,73.0,0.0,personal auto,four-door car,365.364581
west region,male,bachelor,9587.3323,39266.0,80.0,0.0,personal auto,four-door car,384.0
west region,male,bachelor,22103.507200000004,,102.0,0.0,personal auto,suv,489.6
central,female,high school or below,9764.9453,,98.0,1.0,personal auto,four-door car,705.6
central,female,bachelor,2567.1515,40864.0,65.0,0.0,corporate auto,four-door car,9.51528
north west,female,bachelor,2650.6228,39035.0,68.0,0.0,personal auto,four-door car,244.564334
west region,male,bachelor,11264.3633,34923.0,98.0,0.0,personal auto,two-door car,639.105556
west region,male,high school or below,2168.5235,,63.0,0.0,personal auto,four-door car,453.6
west region,female,high school or below,8610.6675,,111.0,0.0,corporate auto,suv,532.8
west region,female,bachelor,2834.6462,24506.0,71.0,0.0,personal auto,two-door car,511.2
